timestamps,Import rate (Rs/unit),Export rate (Rs/unit),Solar generation (unit),Electricity Consumption(unit)
2024-08-24 00:00:00-07:00,0.1247,0.0556,0,1.015
2024-08-24 00:15:00-07:00,0.1247,0.0556,0,1.002
2024-08-24 00:30:00-07:00,0.1247,0.0556,0,1.172
2024-08-24 00:45:00-07:00,0.1247,0.0556,0,1.081
2024-08-24 01:00:00-07:00,0.1247,0.0554,0,1.004
2024-08-24 01:15:00-07:00,0.1247,0.0554,0,0.97
2024-08-24 01:30:00-07:00,0.1247,0.0554,0,0.952
2024-08-24 01:45:00-07:00,0.1247,0.0554,0,0.939
2024-08-24 02:00:00-07:00,0.1247,0.0551,0,0.923
2024-08-24 02:15:00-07:00,0.1247,0.0551,0,0.921
2024-08-24 02:30:00-07:00,0.1247,0.0551,0,0.911
2024-08-24 02:45:00-07:00,0.1247,0.0551,0,0.908
2024-08-24 03:00:00-07:00,0.1247,0.0548,0,0.864
2024-08-24 03:15:00-07:00,0.1247,0.0548,0,0.852
2024-08-24 03:30:00-07:00,0.1247,0.0548,0,0.749
2024-08-24 03:45:00-07:00,0.1247,0.0548,0,0.64
2024-08-24 04:00:00-07:00,0.1247,0.0549,0,0.581
2024-08-24 04:15:00-07:00,0.1247,0.0549,0,0.703
2024-08-24 04:30:00-07:00,0.1247,0.0549,0,0.826
2024-08-24 04:45:00-07:00,0.1247,0.0549,0,0.812
2024-08-24 05:00:00-07:00,0.1247,0.0551,0,0.77
2024-08-24 05:15:00-07:00,0.1247,0.0551,0,0.836
2024-08-24 05:30:00-07:00,0.1247,0.0551,0,0.932
2024-08-24 05:45:00-07:00,0.1247,0.0551,0,0.905
2024-08-24 06:00:00-07:00,0.1247,0.0552,0,0.924
2024-08-24 06:15:00-07:00,0.1247,0.0552,0,0.835
2024-08-24 06:30:00-07:00,0.1247,0.0552,0.067,0.708
2024-08-24 06:45:00-07:00,0.1247,0.0552,0.104,0.77
2024-08-24 07:00:00-07:00,0.1247,0.0564,0.201,0.7
2024-08-24 07:15:00-07:00,0.1247,0.0564,0.338,0.79
2024-08-24 07:30:00-07:00,0.1247,0.0564,0.547,0.94
2024-08-24 07:45:00-07:00,0.1247,0.0564,0.631,0.903
2024-08-24 08:00:00-07:00,0.1247,0.0601,0.717,0.849
2024-08-24 08:15:00-07:00,0.1247,0.0601,0.83,0.864
2024-08-24 08:30:00-07:00,0.1247,0.0601,0.946,0.944
2024-08-24 08:45:00-07:00,0.1247,0.0601,1.075,0.885
2024-08-24 09:00:00-07:00,0.1247,0.066,1.195,0.876
2024-08-24 09:15:00-07:00,0.1247,0.066,1.307,0.918
2024-08-24 09:30:00-07:00,0.1247,0.066,1.415,0.954
2024-08-24 09:45:00-07:00,0.1247,0.066,1.518,0.699
2024-08-24 10:00:00-07:00,0.1247,0.0633,1.621,0.73
2024-08-24 10:15:00-07:00,0.1247,0.0633,1.713,0.785
2024-08-24 10:30:00-07:00,0.1247,0.0633,1.79,0.605
2024-08-24 10:45:00-07:00,0.1247,0.0633,1.874,0.616
2024-08-24 11:00:00-07:00,0.1247,0.0603,1.934,0.577
2024-08-24 11:15:00-07:00,0.1247,0.0603,2.005,0.592
2024-08-24 11:30:00-07:00,0.1247,0.0603,2.067,0.501
2024-08-24 11:45:00-07:00,0.1247,0.0603,2.104,0.541
2024-08-24 12:00:00-07:00,0.1247,0.0593,2.141,0.579
2024-08-24 12:15:00-07:00,0.1247,0.0593,2.166,0.549
2024-08-24 12:30:00-07:00,0.1247,0.0593,2.181,0.53
2024-08-24 12:45:00-07:00,0.1247,0.0593,2.196,0.54
2024-08-24 13:00:00-07:00,0.1247,0.059,2.19,0.535
2024-08-24 13:15:00-07:00,0.1247,0.059,2.178,0.527
2024-08-24 13:30:00-07:00,0.1247,0.059,2.16,0.517
2024-08-24 13:45:00-07:00,0.1247,0.059,2.138,0.519
2024-08-24 14:00:00-07:00,0.4245,0.3675,2.094,0.447
2024-08-24 14:15:00-07:00,0.4245,0.3675,2.064,0.429
2024-08-24 14:30:00-07:00,0.4245,0.3675,2.015,0.422
2024-08-24 14:45:00-07:00,0.4245,0.3675,1.946,0.435
2024-08-24 15:00:00-07:00,0.4245,0.3682,1.861,0.726
2024-08-24 15:15:00-07:00,0.4245,0.3682,1.768,0.747
2024-08-24 15:30:00-07:00,0.4245,0.3682,1.641,0.768
2024-08-24 15:45:00-07:00,0.4245,0.3682,1.537,0.8
