timestamp,battery_soc_units,grid_flow_units,grid_action
2024-08-24 07:00:00+00:00,13.75,4.765,import
2024-08-24 07:15:00+00:00,17.5,4.752,import
2024-08-24 07:30:00+00:00,20.0,3.672,import
2024-08-24 07:45:00+00:00,20.0,1.081,import
2024-08-24 08:00:00+00:00,20.0,1.004,import
2024-08-24 08:15:00+00:00,20.0,0.97,import
2024-08-24 08:30:00+00:00,20.0,0.952,import
2024-08-24 08:45:00+00:00,20.0,0.939,import
2024-08-24 09:00:00+00:00,20.0,0.923,import
2024-08-24 09:15:00+00:00,20.0,0.921,import
2024-08-24 09:30:00+00:00,20.0,0.911,import
2024-08-24 09:45:00+00:00,20.0,0.908,import
2024-08-24 10:00:00+00:00,20.0,0.864,import
2024-08-24 10:15:00+00:00,20.0,0.852,import
2024-08-24 10:30:00+00:00,20.0,0.749,import
2024-08-24 10:45:00+00:00,20.0,0.64,import
2024-08-24 11:00:00+00:00,20.0,0.581,import
2024-08-24 11:15:00+00:00,20.0,0.703,import
2024-08-24 11:30:00+00:00,20.0,0.826,import
2024-08-24 11:45:00+00:00,20.0,0.812,import
2024-08-24 12:00:00+00:00,20.0,0.77,import
2024-08-24 12:15:00+00:00,20.0,0.836,import
2024-08-24 12:30:00+00:00,20.0,0.932,import
2024-08-24 12:45:00+00:00,20.0,0.905,import
2024-08-24 13:00:00+00:00,20.0,0.924,import
2024-08-24 13:15:00+00:00,20.0,0.835,import
2024-08-24 13:30:00+00:00,20.0,0.641,import
2024-08-24 13:45:00+00:00,20.0,0.666,import
2024-08-24 14:00:00+00:00,20.0,0.499,import
2024-08-24 14:15:00+00:00,20.0,0.452,import
2024-08-24 14:30:00+00:00,20.0,0.393,import
2024-08-24 14:45:00+00:00,20.0,0.272,import
2024-08-24 15:00:00+00:00,20.0,0.132,import
2024-08-24 15:15:00+00:00,20.0,0.034,import
2024-08-24 15:30:00+00:00,20.0,-0.002,export
2024-08-24 15:45:00+00:00,20.0,-0.19,export
2024-08-24 16:00:00+00:00,20.0,-0.319,export
2024-08-24 16:15:00+00:00,20.0,-0.389,export
2024-08-24 16:30:00+00:00,20.0,-0.461,export
2024-08-24 16:45:00+00:00,20.0,-0.819,export
2024-08-24 17:00:00+00:00,20.0,-0.891,export
2024-08-24 17:15:00+00:00,20.0,-0.928,export
2024-08-24 17:30:00+00:00,20.0,-1.185,export
2024-08-24 17:45:00+00:00,20.0,-1.258,export
2024-08-24 18:00:00+00:00,20.0,-1.357,export
2024-08-24 18:15:00+00:00,20.0,-1.413,export
2024-08-24 18:30:00+00:00,20.0,-1.566,export
2024-08-24 18:45:00+00:00,20.0,-1.563,export
2024-08-24 19:00:00+00:00,20.0,-1.562,export
2024-08-24 19:15:00+00:00,20.0,-1.617,export
2024-08-24 19:30:00+00:00,20.0,-1.651,export
2024-08-24 19:45:00+00:00,20.0,-1.656,export
2024-08-24 20:00:00+00:00,20.0,-1.655,export
2024-08-24 20:15:00+00:00,20.0,-1.651,export
2024-08-24 20:30:00+00:00,20.0,-1.643,export
2024-08-24 20:45:00+00:00,20.0,-1.619,export
2024-08-24 21:00:00+00:00,20.0,-1.647,export
2024-08-24 21:15:00+00:00,20.0,-1.635,export
2024-08-24 21:30:00+00:00,20.0,-1.593,export
2024-08-24 21:45:00+00:00,20.0,-1.511,export
2024-08-24 22:00:00+00:00,20.0,-1.135,export
2024-08-24 22:15:00+00:00,20.0,-1.021,export
2024-08-24 22:30:00+00:00,20.0,-0.873,export
2024-08-24 22:45:00+00:00,20.0,-0.737,export
2024-08-24 23:00:00+00:00,20.0,-0.634,export
2024-08-24 23:15:00+00:00,20.0,-0.506,export
2024-08-24 23:30:00+00:00,20.0,-0.342,export
2024-08-24 23:45:00+00:00,20.0,-0.255,export
2024-08-25 00:00:00+00:00,20.0,-0.109,export
2024-08-25 00:15:00+00:00,19.966,0.0,none
2024-08-25 00:30:00+00:00,19.816,0.0,none
2024-08-25 00:45:00+00:00,19.536,0.0,none
2024-08-25 01:00:00+00:00,19.018,0.0,none
2024-08-25 01:15:00+00:00,18.36,0.0,none
2024-08-25 01:30:00+00:00,17.524,0.0,none
2024-08-25 01:45:00+00:00,16.663,0.0,none
2024-08-25 02:00:00+00:00,15.501,0.0,none
2024-08-25 02:15:00+00:00,14.391,0.0,none
2024-08-25 02:30:00+00:00,13.283,0.0,none
2024-08-25 02:45:00+00:00,12.171,0.0,none
2024-08-25 03:00:00+00:00,10.974,0.0,none
2024-08-25 03:15:00+00:00,9.769,0.0,none
2024-08-25 03:30:00+00:00,8.624,0.0,none
2024-08-25 03:45:00+00:00,7.586,0.0,none
2024-08-25 04:00:00+00:00,6.58,0.0,none
2024-08-25 04:15:00+00:00,5.524,0.0,none
2024-08-25 04:30:00+00:00,4.427,0.0,none
2024-08-25 04:45:00+00:00,3.396,0.0,none
2024-08-25 05:00:00+00:00,2.35,0.0,none
2024-08-25 05:15:00+00:00,1.325,0.0,none
2024-08-25 05:30:00+00:00,0.439,0.0,none
2024-08-25 05:45:00+00:00,0.0,0.311,import
2024-08-25 06:00:00+00:00,0.0,0.736,import
2024-08-25 06:15:00+00:00,0.0,0.718,import
2024-08-25 06:30:00+00:00,0.0,0.686,import
2024-08-25 06:45:00+00:00,0.0,0.666,import
